Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1RGaIn89VUtXvJCXz1tDNb,Karma,DARK BLOOD,ENHYPEN,5/22/2023,192619,59,FALSE,dxgbydtxj4ernrimisfdo7p0h,2023-10-13T04:13:12Z,k-pop,BELIFT LAB,0.615,0.884,1,-4.983,1,0.0765,0.0955,0,0.0838,0.455,114.063,4
spotify:track:6gcuJpHu0Ey30D5WR76y98,You & Me,JENNIE Special Single [You & Me],JENNIE,10/6/2023,179164,68,FALSE,dxgbydtxj4ernrimisfdo7p0h,2023-10-13T04:13:21Z,k-pop,YG Entertainment/Interscope Records,0.789,0.572,9,-6.227,1,0.0566,0.0155,0.0000206,0.0955,0.561,112.01,4
spotify:track:6zZWoHlF2zNSLUNLvx4GUl,Better Things,Better Things,aespa,8/18/2023,203216,58,FALSE,dxgbydtxj4ernrimisfdo7p0h,2023-10-13T04:13:43Z,k-pop,SM Entertainment / Warner Records,0.782,0.767,0,-5.383,1,0.0529,0.11,0.00323,0.496,0.548,115.027,4
spotify:track:4Cyf87ul1le0xTWRFBoYd7,Killin’ Me Good,ZONE,JIHYO,8/18/2023,185920,62,FALSE,dxgbydtxj4ernrimisfdo7p0h,2023-10-13T04:13:48Z,k-pop,Republic Records – JIHYO (TWICE),0.745,0.918,5,-0.683,1,0.0741,0.204,0,0.0449,0.647,111.966,4
spotify:track:6ezYHltHYhuJckdCsYsRJI,Either Way,Either Way,IVE,9/25/2023,166946,56,FALSE,dxgbydtxj4ernrimisfdo7p0h,2023-10-13T04:14:05Z,k-pop,Starship Entertainment,0.701,0.588,8,-4.059,0,0.0475,0.461,0,0.24,0.394,123.078,4
spotify:track:4iK0QSCW3nmt6bsZtAjzX6,Deep Down,The Name Chapter: FREEFALL,TOMORROW X TOGETHER,10/13/2023,163619,52,FALSE,dxgbydtxj4ernrimisfdo7p0h,2023-10-13T14:52:32Z,k-pop,Republic Records - TXT,0.801,0.471,8,-9.083,1,0.0795,0.0597,0.000253,0.0675,0.41,123.987,4
spotify:track:5EtiQveQFQy0R05hLVDyKv,Fact Check,Fact Check - The 5th Album,NCT 127,10/6/2023,184653,0,FALSE,dxgbydtxj4ernrimisfdo7p0h,2023-10-18T01:46:33Z,"k-pop,noise music",SM Entertainment,0.758,0.908,5,-2.652,0,0.113,0.0768,0,0.257,0.572,130.012,4
spotify:track:60oyvXjv0nwZnRrwZvZqUm,FACE,"NU'EST The First Album ""Re:BIRTH""",NU'EST,7/9/2014,220134,51,FALSE,dxgbydtxj4ernrimisfdo7p0h,2023-11-06T02:05:19Z,k-pop,PLEDIS ENTERTAINMENT,0.789,0.88,0,-3.235,0,0.064,0.0226,0,0.386,0.615,123.97,4
spotify:track:1AbQH7wlRemzyexuO2m3KO,Log in,THE FIFTY,FIFTY FIFTY,11/18/2022,231893,0,FALSE,dxgbydtxj4ernrimisfdo7p0h,2023-11-07T03:17:10Z,k-pop,WM Korea,0.826,0.745,2,-5.481,1,0.249,0.236,0.0000044,0.392,0.395,132.051,4
spotify:track:2YmfV4lAjrAQvuggKCUX6m,Sweet Venom,ORANGE BLOOD,ENHYPEN,11/17/2023,148753,72,FALSE,dxgbydtxj4ernrimisfdo7p0h,2023-11-19T06:53:00Z,k-pop,BELIFT LAB,0.84,0.673,10,-3.685,1,0.0427,0.0426,0,0.0971,0.911,115.004,4
spotify:track:47JqJobasbTT9r0gX8CoE1,Sweet Venom (English Ver.),ORANGE BLOOD,ENHYPEN,11/17/2023,148753,59,FALSE,dxgbydtxj4ernrimisfdo7p0h,2023-11-19T06:53:09Z,k-pop,BELIFT LAB,0.866,0.666,7,-3.757,0,0.0511,0.0458,0.00000583,0.0975,0.905,115.001,4
spotify:track:3v8hC61VqQ95xwBiLg1JPg,Sweet Venom (feat. Bella Poarch),ORANGE BLOOD,ENHYPEN;Bella Poarch,11/17/2023,148753,48,FALSE,dxgbydtxj4ernrimisfdo7p0h,2023-11-19T06:53:14Z,k-pop,BELIFT LAB,0.869,0.675,7,-3.685,0,0.0473,0.0549,0.00000855,0.131,0.896,115.003,4
spotify:track:5Cb3JSisvjlZhjSfYD6d7C,Orange Flower (You Complete Me),ORANGE BLOOD,ENHYPEN,11/17/2023,180285,61,FALSE,dxgbydtxj4ernrimisfdo7p0h,2023-11-22T00:40:24Z,k-pop,BELIFT LAB,0.697,0.691,1,-5.729,1,0.0324,0.165,0,0.134,0.654,125.971,4
spotify:track:6tuTpe37ljVcrJeZAAKBE1,Still Monster,ORANGE BLOOD,ENHYPEN,11/17/2023,186119,66,FALSE,dxgbydtxj4ernrimisfdo7p0h,2023-11-22T00:40:29Z,k-pop,BELIFT LAB,0.7,0.692,9,-4.948,0,0.0434,0.372,0,0.143,0.446,109.988,4
spotify:track:5zyAmGZ6IfotltMUqzMhdg,Blind,ORANGE BLOOD,ENHYPEN,11/17/2023,198232,62,FALSE,dxgbydtxj4ernrimisfdo7p0h,2023-11-22T00:40:34Z,k-pop,BELIFT LAB,0.599,0.873,10,-5.102,0,0.157,0.273,0,0.185,0.491,95.099,4
spotify:track:4W8ixcvNvwWW5cdYSNlsiz,Movie Star,Movie Star,MIJOO,5/17/2023,188426,36,FALSE,dxgbydtxj4ernrimisfdo7p0h,2023-12-02T04:07:32Z,,Antenna,0.734,0.894,6,-2.936,1,0.135,0.0743,0,0.0598,0.749,125.034,4
spotify:track:2HGAKzcfEtMfbM2ssgiKez,ONE MORE TIME,ONE MORE TIME,BBGIRLS,8/3/2023,187826,32,FALSE,dxgbydtxj4ernrimisfdo7p0h,2023-12-15T00:36:37Z,,WM Korea,0.724,0.872,3,-3.552,0,0.0442,0.0218,0,0.0702,0.381,124.059,4
spotify:track:2oTiMjaWKAQEhxo24BRhnQ,Pick Me Up,COSMIC EXPLORER,Perfume,4/6/2016,228800,26,FALSE,dxgbydtxj4ernrimisfdo7p0h,2023-12-21T15:52:32Z,"j-pop,shibuya-kei",Universal Music LLC,0.514,0.975,6,-4.266,0,0.0483,0.0331,0.0416,0.383,0.586,128.015,4
spotify:track:0iCOM7P9YJosI9G6mIvU3K,FLASH,"Perfume The Best ""P Cubed""",Perfume,9/18/2019,277573,45,FALSE,dxgbydtxj4ernrimisfdo7p0h,2023-12-21T15:52:39Z,"j-pop,shibuya-kei",Universal Music LLC,0.516,0.907,10,-2.13,0,0.0641,0.00461,0.000198,0.32,0.487,128.023,4
spotify:track:2qf6RwB0axChZqoS83Adqs,Forbidden Midnight,Forbidden Midnight,iii,11/23/2023,178493,33,FALSE,dxgbydtxj4ernrimisfdo7p0h,2023-12-22T04:09:19Z,,빅오션이엔엠,0.69,0.729,1,-4.678,0,0.0471,0.00944,0,0.129,0.636,127.954,4
spotify:track:6QYYzSQnGyMjcRRy67eYwF,Miss Wanna Die,Miss Wanna Die,JubyPhonic;Master Andross,11/5/2021,203636,61,FALSE,dxgbydtxj4ernrimisfdo7p0h,2023-12-26T01:38:55Z,vocaloid,10 Tail Records,0.63,0.835,9,-4.541,0,0.0291,0.152,0.00000222,0.0952,0.533,132.032,4
spotify:track:0IvAUYGuYwMcLJREtXDxDv,Again,Winter Dream,ASTRO,2/22/2017,216647,42,FALSE,dxgbydtxj4ernrimisfdo7p0h,2024-01-07T02:48:48Z,k-pop,fantagio music,0.62,0.77,7,-4.483,1,0.0415,0.228,0,0.219,0.666,101.944,4
spotify:track:4XnE7ebDofpeBQFHhQ7TbL,Off The Record,I'VE MINE,IVE,10/13/2023,188733,38,FALSE,dxgbydtxj4ernrimisfdo7p0h,2024-01-09T03:19:13Z,k-pop,Sony Music Labels Inc.,0.767,0.745,10,-5.338,1,0.0449,0.101,0,0.192,0.842,107.984,4
spotify:track:7aqsfFKqJFNa2umM4tTLdA,Baddie,I'VE MINE,IVE,10/13/2023,154360,53,FALSE,dxgbydtxj4ernrimisfdo7p0h,2024-01-09T03:19:18Z,k-pop,Sony Music Labels Inc.,0.736,0.678,5,-4.503,1,0.0464,0.0459,0.00000546,0.104,0.757,160.045,4
spotify:track:0Zlo4uGTlUdVnd7X4qJBzc,Holy Moly,I'VE MINE,IVE,10/13/2023,176760,40,FALSE,dxgbydtxj4ernrimisfdo7p0h,2024-01-09T03:19:23Z,k-pop,Sony Music Labels Inc.,0.416,0.79,2,-3.819,1,0.239,0.0299,0.00000141,0.11,0.707,170.579,5
spotify:track:0NXEAi4ZOfx7uMgspnf80o,Either Way,I'VE MINE,IVE,10/13/2023,166946,32,FALSE,dxgbydtxj4ernrimisfdo7p0h,2024-01-09T03:19:28Z,k-pop,Sony Music Labels Inc.,0.701,0.588,8,-4.059,0,0.0475,0.461,0,0.24,0.394,123.078,4
spotify:track:74l5BPqT3RbvADZg63Xz2g,Payback,I'VE MINE,IVE,10/13/2023,188213,38,FALSE,dxgbydtxj4ernrimisfdo7p0h,2024-01-09T03:19:36Z,k-pop,Sony Music Labels Inc.,0.541,0.924,11,-3.661,1,0.182,0.107,0,0.124,0.755,179.859,3
spotify:track:7EHHUyp0NsNSR25snPWW7f,OTT,I'VE MINE,IVE,10/13/2023,157186,41,FALSE,dxgbydtxj4ernrimisfdo7p0h,2024-01-09T03:19:39Z,k-pop,Sony Music Labels Inc.,0.854,0.822,11,-4.703,1,0.0449,0.216,0,0.105,0.827,124.037,4
